Tipo Finalidade Endereço Bairro Cidade Área Valor IPTU Quartos Suítes Banheiros Vagas Cozinha Sala Varanda Área_de_serviço Piso Conservação Armários Ar-condicionado Aquecedor Ventilador
Sala temporada Rua_A_1 Bela_Vista CidadeB 102 3816 2230 0 0 3 4 não não não não cerâmica bom não sim não sim
Casa temporada Rua_B_2 Bela_Vista CidadeA 159 4618 1534 2 0 1 2 sim sim não não porcelanato ótimo não não sim sim
Casa locação Rua_C_3 Vila_Nova CidadeA 180 2037 2092 2 0 1 1 não sim sim sim cimento bom sim sim sim sim
Casa temporada Rua_D_4 Industrial CidadeA 221 1259 1922 4 3 3 3 sim sim não sim cerâmica ótimo sim sim não não
Apartamento locação Rua_E_5 Bela_Vista CidadeB 63 1902 3140 0 0 2 4 sim sim não sim porcelanato bom sim sim sim sim
Sala temporada Rua_F_6 Vila_Nova CidadeC 250 4031 4266 0 0 3 1 não não não não porcelanato bom não sim sim sim
Casa venda Rua_G_7 Bela_Vista CidadeB 212 495877 1934 2 1 2 4 não não sim sim madeira bom não não não não
Sala venda Rua_H_8 Bela_Vista CidadeA 212 448638 4071 0 0 2 3 não não não não cimento regular sim sim não sim
Apartamento venda Rua_I_9 Industrial CidadeB 163 777080 580 0 0 1 4 não sim sim sim madeira bom sim sim sim não
Sala temporada Rua_J_10 Jardim_América CidadeC 66 1348 3357 0 0 2 0 não não não não madeira ótimo não sim sim não
Apartamento venda Rua_K_11 Vila_Nova CidadeA 51 115307 4713 1 1 3 1 não sim sim não cimento ótimo não sim sim sim
Apartamento locação Rua_L_12 Bela_Vista CidadeC 64 1707 503 5 0 2 0 não não sim não porcelanato ótimo sim não sim sim
Casa locação Rua_M_13 Bela_Vista CidadeB 219 1305 2384 3 1 3 0 não não sim não cimento ótimo sim sim sim não
Sala locação Rua_N_14 Bela_Vista CidadeA 201 1862 959 0 0 4 2 não não não não cimento ótimo sim não não não
Sala venda Rua_O_15 Vila_Nova CidadeA 182 317641 3592 0 0 1 1 não não não não madeira ótimo sim não não não
